Item,Make,Model,Part Number,Qty,Notes
Kestrel Logger Board,Caltronics ,MainLogger_1v8,N/A,1,
I2C Talon,Caltronics,Talon_I2C_2v1,N/A,1,
SDI-12 Talon,Caltronics,Talon_SDI12_1v4,N/A,1,
Aux Talon,Caltronics,AuxTalon_LoadSwitch_1v5,N/A,1,
Battery Holder - Gonk,Caltronics,18650_1S3P_Smart_VertCon_1v2,N/A,1,
Mounting Plate,Custom,WC-24F_v3_MountingPlate_v003,N/A,1,
Box,Polycase,WC-24F_v3_Body_v005,N/A,1,
SoM Controller,Particle,B404X,B404XMEA,1,
"Screw, SoM",Generic,"Button Head Hex Drive Screw Passivated 18-8 Stainless Steel, M2 x 0.40 mm Thread, 3mm Long",92095A276,1,McMaster Part Number
"Washer, SoM",Generic,"18-8ÿStainless Steel Washer for M2ÿScrewÿSize,ÿ2.2ÿmmÿID,ÿ5 mm OD",93475A195,1,McMaster Part Number
Battery,Panasonic,NCR18650B,NCR18650B,3,Flat top
Solar Connector,Voltaic Systems,Female 3.5x1.1mm - JST Extension,W058,1,
Cable Gland,Amphenol,CABLE GLAND 3-6.5MM M12 NYLON,AIO-CSM12,1,
USB Cover,Amphenol,Rugged Dust Cover for MicroUSB,MUSB2K15015BP,1,
"Screw, USB",Generic,"Stainless Steel Button Head Hex Drive Screw 2-56 Thread Size, 5/16"" Long",92949A078,2,McMaster Part Number
Micro SD Card,SanDisk,Ultra microSD,SDSQUNC-016G-AN6MA,1,
"Cable, Short",Molex,MICROLOCK PLUS CABLE BLACK 6 CKT,451110600,2,
"Cable, Long",Molex,MICROLOCK PLUS CABLE BLACK 6 CKT,451110601,1,
"Cable, Battery",Molex,MICROFIT 6 CIRCUIT 150MM,451320601,1,
"Screw, Nylon",Generic,"Nylon socket head, 4-40, 1/4""",95868A256,10,McMaster Part Number
Nut,Generic,"Nylon hex nut, 4-40",94812A200,2,McMaster Part Number
Standoff,Generic,"Female threaded hex standoff, aluminium, 3/16"" hex, 1"" long, 4-40",91780A537,4,McMaster Part Number
"Screw, Thread Forming",Generic,"Rounded Head Thread-Forming Screws for Brittle Plastic, 18-8 Stainless Steel, Number 4 Size, 1/4"" Long",97349A415,4,McMaster Part Number
Desicant,Generic,Silica gel desiccant bags for 235 cubic inches,2189K46,1,McMaster Part Number
